Fuel_Type,Body_Type,Transmission,KM_Driven,Model_Year,Price,Engine,Brand,Model,Registration_Year,City
Diesel,Sedan,Manual,71775,2021,17.05,1493.0,Hyundai,Hyundai Elantra,2021,bangalore
Petrol,Hatchback,Automatic,59882,2018,6.67,1197.0,Maruti,Maruti Swift,2018,bangalore
Petrol,Hatchback,Automatic,24463,2014,4.94,1197.0,Hyundai,Hyundai Grand i10,2014,bangalore
Petrol,Sedan,Manual,72352,2015,6.36,1497.0,Honda,Honda City,2015,bangalore
Diesel,SUV,Manual,90928,2017,7.92,1498.0,Ford,Ford Ecosport,2017,bangalore
Petrol,SUV,Manual,10000,2021,6.95,999.0,Nissan,Nissan Magnite,2021,bangalore
Petrol,Hatchback,Manual,60000,2014,3.6,1196.0,Ford,Ford Figo,2014,bangalore
Petrol,Minivans,Manual,80000,1998,6.14,796.0,Maruti,Maruti Omni,1998,bangalore
Diesel,SUV,Manual,117530,2016,8.27,1248.0,Maruti,Maruti Vitara Brezza,2016,bangalore
Petrol,Hatchback,Manual,102814,2011,3.82,1197.0,Maruti,Maruti Swift,2011,bangalore
Petrol,Hatchback,Manual,20000,2021,6.5,1199.0,Tata,Tata Tiago,2021,bangalore
Petrol,Hatchback,Automatic,34801,2017,5.12,998.0,Maruti,Maruti Celerio,2017,bangalore
Petrol,Hatchback,Manual,51877,2018,4.63,998.0,Maruti,Maruti Celerio,2018,bangalore
Petrol,Sedan,Automatic,10000,2023,15.0,1497.0,Hyundai,Hyundai Verna,2023,bangalore
Petrol,Hatchback,Manual,17125,2018,5.25,998.0,Maruti,Maruti Celerio X,2018,bangalore
Diesel,SUV,Manual,30000,2014,4.6,1461.0,Renault,Renault Duster,2014,bangalore
Petrol,Hatchback,Manual,50318,2016,6.27,1197.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,Sedan,Manual,46123,2012,5.11,1591.0,Hyundai,Hyundai Verna,2013,bangalore
Petrol,Hatchback,Manual,120000,2006,6.14,1341.0,Hyundai,Hyundai Getz,2006,bangalore
Diesel,Hatchback,Manual,70000,2015,6.0,1396.0,Hyundai,Hyundai i20,2015,bangalore
Diesel,Sedan,Automatic,33360,2014,12.85,1968.0,Volkswagen,Volkswagen Jetta,2014,bangalore
Petrol,SUV,Automatic,21800,2022,31.5,1984.0,Volkswagen,Volkswagen Tiguan,2022,bangalore
Petrol,Hatchback,Manual,10000,2023,7.5,1199.0,Tata,Tata Altroz,2023,bangalore
Petrol,Hatchback,Manual,60000,2006,1.3,1086.0,Hyundai,Hyundai Santro Xing,2006,bangalore
Electric,SUV,Automatic,10000,2023,18.0,0.0,Tata,Tata Nexon EV Max,2023,bangalore
Petrol,Hatchback,Automatic,11045,2021,9.85,1197.0,Hyundai,Hyundai i20,2021,bangalore
Diesel,Sedan,Automatic,51406,2018,10.45,1498.0,Volkswagen,Volkswagen Vento,2019,bangalore
Diesel,Hatchback,Manual,70000,2012,2.0,1396.0,Tata,Tata Indica V2,2012,bangalore
Petrol,Hatchback,Manual,26031,2017,7.1,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,Hatchback,Manual,30740,2016,5.86,1197.0,Maruti,Maruti Swift,2016,bangalore
Petrol,SUV,Automatic,20000,2022,15.0,1498.0,MG,MG Astor,2022,bangalore
Petrol,Hatchback,Automatic,65909,2017,5.84,1197.0,Maruti,Maruti Ignis,2017,bangalore
Petrol,Hatchback,Manual,140590,2013,4.09,1197.0,Hyundai,Hyundai i20,2013,bangalore
Petrol,MUV,Automatic,32953,2019,21.75,2694.0,Toyota,Toyota Innova Crysta,2019,bangalore
Petrol,Sedan,Automatic,51801,2019,7.38,1197.0,Maruti,Maruti Swift Dzire,2019,bangalore
Diesel,Sedan,Manual,80000,2015,3.8,1120.0,Hyundai,Hyundai Xcent,2015,bangalore
Petrol,Hatchback,Manual,62621,2017,6.56,1197.0,Hyundai,Hyundai i20,2017,bangalore
Petrol,Hatchback,Manual,79068,2014,4.83,1197.0,Maruti,Maruti Swift,2014,bangalore
Petrol,Hatchback,Manual,50000,2018,5.1,1197.0,Maruti,Maruti Swift,2018,bangalore
Diesel,Sedan,Automatic,30000,2018,7.5,1498.0,Volkswagen,Volkswagen Ameo,2018,bangalore
Petrol,Hatchback,Manual,72000,2008,1.85,1086.0,Hyundai,Hyundai i10,2008,bangalore
Petrol,Hatchback,Manual,80000,2008,1.8,1086.0,Hyundai,Hyundai i10,2008,bangalore
Petrol,MUV,Manual,10000,2021,19.0,2694.0,Toyota,Toyota Innova Crysta,2021,bangalore
Diesel,SUV,Automatic,20000,2022,21.0,1956.0,Tata,Tata Harrier,2022,bangalore
Diesel,SUV,Automatic,36314,2016,12.45,2179.0,Mahindra,Mahindra XUV500,2016,bangalore
Petrol,Hatchback,Manual,67000,2010,3.0,1198.0,Volkswagen,Volkswagen Polo,2010,bangalore
Electric,SUV,Automatic,30000,2020,13.5,0.0,Tata,Tata Nexon EV Prime,2020,bangalore
Electric,SUV,Automatic,21236,2022,14.5,0.0,Tata,Tata Nexon EV Prime,2022,bangalore
Petrol,Hatchback,Automatic,47488,2017,5.46,1197.0,Maruti,Maruti Ignis,2017,bangalore
Petrol,Hatchback,Manual,56814,2016,5.33,1199.0,Honda,Honda Jazz,2016,bangalore
Petrol,Sedan,Automatic,90000,2004,1.6,1493.0,Honda,Honda City,2004,bangalore
Petrol,Hatchback,Manual,63206,2012,3.32,1197.0,Hyundai,Hyundai i10,2012,bangalore
Petrol,Sedan,Manual,61103,2018,8.09,1462.0,Maruti,Maruti Ciaz,2018,bangalore
Petrol,Hatchback,Manual,70000,2008,2.0,796.0,Maruti,Maruti Alto,2008,bangalore
Petrol,Hatchback,Automatic,112268,2015,3.47,998.0,Maruti,Maruti Celerio,2016,bangalore
Petrol,Hatchback,Manual,70000,2006,1.5,1298.0,Maruti,Maruti Swift,2006,bangalore
Petrol,SUV,Manual,97346,2021,13.59,999.0,Volkswagen,Volkswagen Taigun,2022,bangalore
Petrol,Hatchback,Manual,36977,2018,5.43,1197.0,Hyundai,Hyundai Grand i10,2018,bangalore
Diesel,Hatchback,Manual,60000,2013,4.75,1396.0,Hyundai,Hyundai i20,2013,bangalore
Petrol,Hatchback,Manual,80000,2003,1.1,1086.0,Hyundai,Hyundai Santro,2003,bangalore
Petrol,Hatchback,Automatic,35000,2016,3.5,999.0,Renault,Renault KWID,2016,bangalore
Petrol,Hatchback,Manual,100000,2006,1.35,1341.0,Hyundai,Hyundai Getz,2006,bangalore
Petrol,Hatchback,Manual,90000,2005,1.7,998.0,Maruti,Maruti Wagon R,2005,bangalore
Diesel,SUV,Automatic,85700,2018,28.5,1995.0,BMW,BMW X1,2018,bangalore
Diesel,Sedan,Automatic,50000,2016,27.5,2143.0,Mercedes-Benz,Mercedes-Benz C-Class,2016,bangalore
Diesel,MUV,Manual,50000,2015,14.49,2494.0,Toyota,Toyota Innova,2015,bangalore
Petrol,Hatchback,Manual,50000,2015,3.0,998.0,Maruti,Maruti Alto K10,2015,bangalore
Petrol,Hatchback,Manual,40082,2014,3.77,998.0,Maruti,Maruti Wagon R,2014,bangalore
Diesel,Sedan,Automatic,112566,2017,6.38,1248.0,Maruti,Maruti Swift Dzire,2017,bangalore
Petrol,SUV,Automatic,68000,2020,15.75,1397.0,Hyundai,Hyundai Creta,2020,bangalore
Petrol,Hatchback,Automatic,61978,2021,6.74,1197.0,Maruti,Maruti Wagon R,2021,bangalore
Petrol,Hatchback,Manual,27658,2021,6.13,1197.0,Maruti,Maruti Wagon R,2022,bangalore
Petrol,SUV,Manual,26000,2019,11.45,1497.0,Kia,Kia Seltos,2019,bangalore
Petrol,Hatchback,Manual,43371,2015,5.95,1197.0,Hyundai,Hyundai i20,2015,bangalore
Diesel,SUV,Manual,120000,2014,4.5,1498.0,Ford,Ford Ecosport,2014,bangalore
Petrol,Hatchback,Manual,67633,2017,5.99,1199.0,Honda,Honda Jazz,2017,bangalore
Petrol,Hatchback,Manual,76794,2016,6.25,1197.0,Maruti,Maruti Baleno,2016,bangalore
Diesel,MUV,Manual,120000,2011,7.5,2494.0,Toyota,Toyota Innova,2011,bangalore
Diesel,MUV,Automatic,59577,2018,21.65,2755.0,Toyota,Toyota Innova Crysta,2018,bangalore
Diesel,Sedan,Manual,100000,2010,4.45,1991.0,Chevrolet,Chevrolet Cruze,2010,bangalore
Petrol,Sedan,Manual,100000,2004,1.2,2362.0,Toyota,Toyota Camry,2004,bangalore
Petrol,Hatchback,Manual,50000,2012,3.2,1197.0,Hyundai,Hyundai i10,2012,bangalore
Diesel,SUV,Automatic,20000,2022,13.5,1493.0,Kia,Kia Sonet,2022,bangalore
Petrol,Hatchback,Manual,120000,2006,1.65,796.0,Maruti,Maruti Alto,2006,bangalore
Petrol,Hatchback,Manual,50000,2018,5.25,1368.0,Fiat,Fiat Punto Abarth,2018,bangalore
Diesel,SUV,Manual,80000,2015,8.88,1582.0,Hyundai,Hyundai Creta,2015,bangalore
Diesel,SUV,Manual,80000,2015,5.75,1493.0,Mahindra,Mahindra TUV 300,2015,bangalore
Diesel,Sedan,Manual,94932,2017,7.07,1248.0,Maruti,Maruti Swift Dzire,2017,bangalore
Petrol,Hatchback,Manual,75140,2016,5.93,1197.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,Hatchback,Manual,88000,2011,2.5,1199.0,Chevrolet,Chevrolet Beat,2011,bangalore
Petrol,Hatchback,Manual,73969,2016,6.85,1197.0,Hyundai,Hyundai i20,2016,bangalore
Petrol,Sedan,Manual,62598,2016,6.99,1591.0,Hyundai,Hyundai Verna,2016,bangalore
Petrol,Sedan,Automatic,70000,2017,12.0,1798.0,Toyota,Toyota Corolla Altis,2017,bangalore
Petrol,Hatchback,Manual,24343,2021,4.25,796.0,Maruti,Maruti Alto 800,2021,bangalore
Diesel,Hatchback,Manual,110000,2014,3.8,1199.0,Volkswagen,Volkswagen Polo,2014,bangalore
Petrol,Hatchback,Manual,58917,2017,5.74,1199.0,Volkswagen,Volkswagen Polo,2017,bangalore
Petrol,Hatchback,Manual,72338,2016,5.73,1197.0,Maruti,Maruti Swift,2016,bangalore
Diesel,Hatchback,Manual,50000,2003,6.14,1396.0,Tata,Tata Indica V2,2003,bangalore
Diesel,SUV,Manual,110000,2015,6.85,2179.0,Mahindra,Mahindra XUV500,2015,bangalore
Petrol,Hatchback,Automatic,41000,2012,4.25,1198.0,Honda,Honda Brio,2012,bangalore
Petrol,Hatchback,Automatic,70000,2009,2.65,1197.0,Hyundai,Hyundai i10,2009,bangalore
Petrol,Sedan,Manual,25887,2019,6.0,1298.0,Maruti,Maruti Swift Dzire,2019,bangalore
Petrol,Sedan,Manual,40000,2016,6.5,1497.0,Honda,Honda City,2016,bangalore
Diesel,Hatchback,Manual,50000,2015,4.3,1248.0,Maruti,Maruti Swift,2015,bangalore
Petrol,Minivans,Manual,10000,2021,5.3,1196.0,Maruti,Maruti Eeco,2021,bangalore
Petrol,Hatchback,Manual,20000,2022,10.75,999.0,Volkswagen,Volkswagen Polo,2022,bangalore
Petrol,Sedan,Manual,60000,2017,7.5,1591.0,Hyundai,Hyundai Verna,2017,bangalore
Petrol,Hatchback,Manual,64235,2017,6.15,1197.0,Hyundai,Hyundai i20,2017,bangalore
Diesel,Hatchback,Manual,83873,2018,7.46,1248.0,Maruti,Maruti Baleno,2018,bangalore
Diesel,Sedan,Manual,120000,2012,3.7,1598.0,Skoda,Skoda Rapid,2012,bangalore
Petrol,Sedan,Manual,93059,2016,6.67,1591.0,Hyundai,Hyundai Verna,2016,bangalore
Petrol,Hatchback,Manual,45681,2017,6.34,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,Sedan,Manual,50000,1998,6.14,970.0,Maruti,Maruti 1000,1998,bangalore
Petrol,Hatchback,Manual,45938,2017,5.79,1199.0,Honda,Honda Jazz,2017,bangalore
Petrol,Hatchback,Manual,40000,2018,5.1,1197.0,Maruti,Maruti Baleno,2018,bangalore
Petrol,Hatchback,Manual,57423,2018,6.34,1197.0,Maruti,Maruti Swift,2018,bangalore
Petrol,Hatchback,Automatic,60942,2015,5.27,1197.0,Hyundai,Hyundai Grand i10,2015,bangalore
Petrol,SUV,Automatic,70000,2018,9.0,1591.0,Hyundai,Hyundai Creta,2018,bangalore
Diesel,SUV,Manual,80000,2018,15.0,1956.0,Jeep,Jeep Compass,2018,bangalore
Diesel,SUV,Automatic,19875,2021,30.0,1997.0,Citroen,Citroen C5 Aircross,2021,bangalore
Diesel,SUV,Automatic,20000,2022,27.5,2198.0,Mahindra,Mahindra XUV700,2022,bangalore
Petrol,Hatchback,Manual,10000,2021,6.5,1197.0,Hyundai,Hyundai Grand i10 Nios,2021,bangalore
Diesel,MUV,Manual,120000,2012,9.65,2494.0,Toyota,Toyota Innova,2012,bangalore
Petrol,SUV,Automatic,20000,2022,36.0,1984.0,Volkswagen,Volkswagen Tiguan,2022,bangalore
Diesel,Sedan,Manual,120000,2013,4.0,1582.0,Hyundai,Hyundai Verna,2013,bangalore
Petrol,Sedan,Manual,50000,2009,3.0,1368.0,Fiat,Fiat Linea,2009,bangalore
Diesel,Sedan,Automatic,30000,2018,34.0,1995.0,BMW,BMW 3 Series GT,2018,bangalore
Petrol,Hatchback,Manual,14949,2020,9.82,998.0,Hyundai,Hyundai i20,2020,bangalore
Petrol,Hatchback,Automatic,77995,2017,6.74,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,SUV,Manual,20000,2021,8.1,1199.0,Tata,Tata Nexon,2021,bangalore
Petrol,Sedan,Manual,40908,2020,7.92,1462.0,Maruti,Maruti Ciaz,2020,bangalore
Petrol,Hatchback,Automatic,39693,2016,5.13,1197.0,Hyundai,Hyundai Grand i10,2016,bangalore
Petrol,Sedan,Manual,40000,2010,3.6,1599.0,Hyundai,Hyundai Verna,2010,bangalore
Petrol,Hatchback,Manual,63411,2016,5.79,1197.0,Maruti,Maruti Swift,2016,bangalore
Petrol,Hatchback,Manual,30000,2018,5.5,1197.0,Maruti,Maruti Swift,2018,bangalore
Petrol,Hatchback,Manual,94221,2014,3.83,1197.0,Hyundai,Hyundai Grand i10,2014,bangalore
Petrol,Hatchback,Manual,93975,2017,6.05,1197.0,Hyundai,Hyundai i20,2017,bangalore
Petrol,SUV,Manual,30000,2019,9.85,1197.0,Mahindra,Mahindra XUV300,2019,bangalore
Petrol,Hatchback,Manual,30155,2020,9.35,999.0,Volkswagen,Volkswagen Polo,2021,bangalore
Petrol,Hatchback,Manual,59006,2016,6.75,1198.0,Volkswagen,Volkswagen Polo,2016,bangalore
Petrol,Hatchback,Manual,100000,2004,1.35,993.0,Maruti,Maruti Zen,2004,bangalore
Petrol,SUV,Automatic,18570,2022,13.45,1199.0,Tata,Tata Nexon,2022,bangalore
Diesel,MUV,Manual,48246,2021,23.65,2393.0,Toyota,Toyota Innova Crysta,2021,bangalore
Diesel,Hatchback,Manual,61263,2016,7.34,1248.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,SUV,Manual,65507,2017,7.01,1199.0,Honda,Honda WR-V,2017,bangalore
Diesel,SUV,Manual,100000,2014,5.35,1461.0,Renault,Renault Duster,2014,bangalore
Petrol,SUV,Manual,26158,2017,7.89,1199.0,Honda,Honda WR-V,2017,bangalore
Petrol,Hatchback,Manual,35250,2015,5.48,1197.0,Maruti,Maruti Swift,2015,bangalore
Diesel,SUV,Manual,65965,2012,3.5,1493.0,Mahindra,Mahindra Quanto,2012,bangalore
Petrol,Hatchback,Manual,40304,2015,4.77,998.0,Maruti,Maruti Celerio,2015,bangalore
Diesel,SUV,Automatic,80000,2013,15.25,2179.0,Land Rover,Land Rover Freelander 2,2013,bangalore
Petrol,Hatchback,Manual,56661,2014,5.15,1197.0,Maruti,Maruti Swift,2014,bangalore
Petrol,Hatchback,Manual,90213,2016,5.62,1197.0,Hyundai,Hyundai i20,2016,bangalore
Petrol,Sedan,Manual,70000,2010,3.45,1598.0,Volkswagen,Volkswagen Vento,2010,bangalore
Diesel,Sedan,Manual,120000,2013,4.75,1582.0,Hyundai,Hyundai Verna,2013,bangalore
Petrol,SUV,Manual,10000,2021,6.7,999.0,Nissan,Nissan Magnite,2021,bangalore
Petrol,Hatchback,Automatic,20739,2021,9.5,1199.0,Honda,Honda Jazz,2021,bangalore
Petrol,Hatchback,Manual,20000,2020,7.0,1197.0,Hyundai,Hyundai i20,2020,bangalore
Petrol,Sedan,Manual,70000,2004,6.14,1389.0,Opel,OpelCorsa,2004,bangalore
Petrol,SUV,Automatic,10000,2021,15.0,1997.0,Mahindra,Mahindra Thar,2021,bangalore
Diesel,Sedan,Manual,60000,2009,3.7,1991.0,Chevrolet,Chevrolet Cruze,2009,bangalore
Diesel,Hatchback,Manual,70000,2015,5.5,1396.0,Hyundai,Hyundai i20,2015,bangalore
Petrol,Hatchback,Manual,47127,2015,5.81,1197.0,Hyundai,Hyundai i20,2015,bangalore
Petrol,Hatchback,Manual,47038,2017,5.82,1197.0,Maruti,Maruti Swift,2017,bangalore
Petrol,Sedan,Manual,120000,2007,1.85,1497.0,Honda,Honda City,2007,bangalore
Petrol,Hatchback,Manual,40769,2018,5.31,1197.0,Hyundai,Hyundai Grand i10,2018,bangalore
Petrol,Hatchback,Manual,34757,2017,5.58,1197.0,Hyundai,Hyundai Grand i10,2017,bangalore
Petrol,Hatchback,Manual,100000,2006,1.55,1086.0,Hyundai,Hyundai Santro Xing,2006,bangalore
Petrol,Hatchback,Automatic,88119,2016,5.08,1197.0,Hyundai,Hyundai Grand i10,2016,bangalore
Diesel,SUV,Automatic,120000,2015,20.6,2982.0,Toyota,Toyota Fortuner,2015,bangalore
Petrol,Hatchback,Manual,57176,2017,5.42,1197.0,Hyundai,Hyundai Grand i10,2017,bangalore
Petrol,Hatchback,Manual,62223,2015,5.01,1197.0,Maruti,Maruti Swift,2015,bangalore
Petrol,MUV,Manual,55000,2018,8.75,1462.0,Maruti,Maruti Ertiga,2018,bangalore
Diesel,SUV,Manual,52000,2020,13.7,2179.0,Mahindra,Mahindra Scorpio,2020,bangalore
Petrol,Minivans,Manual,63251,2018,4.85,1196.0,Maruti,Maruti Eeco,2019,bangalore
Petrol,Hatchback,Manual,20000,2010,3.0,1197.0,Hyundai,Hyundai i10,2010,bangalore
Diesel,Sedan,Manual,60000,2009,3.5,1991.0,Chevrolet,Chevrolet Cruze,2009,bangalore
Diesel,SUV,Automatic,20000,2021,32.5,1997.0,Citroen,Citroen C5 Aircross,2021,bangalore
Petrol,Sedan,Manual,80000,2004,6.14,1597.0,Ford,Ford Ikon,2004,bangalore
Petrol,Hatchback,Automatic,40000,2018,6.3,1197.0,Hyundai,Hyundai Grand i10,2018,bangalore
Diesel,SUV,Automatic,20000,2022,24.75,1956.0,Tata,Tata New Safari,2022,bangalore
Petrol,Hatchback,Manual,67444,2012,4.17,1197.0,Hyundai,Hyundai i20,2012,bangalore
Petrol,Hatchback,Automatic,63837,2016,6.31,1197.0,Maruti,Maruti Baleno,2016,bangalore
Diesel,MUV,Manual,61000,2012,4.65,2498.0,Mahindra,Mahindra Xylo,2012,bangalore
Petrol,Hatchback,Manual,60777,2016,5.44,1197.0,Maruti,Maruti Swift,2016,bangalore
Petrol,Hatchback,Manual,39248,2016,7.04,1197.0,Maruti,Maruti Baleno,2016,bangalore
Diesel,Sedan,Automatic,66000,2014,19.75,1995.0,BMW,BMW 5 Series,2014,bangalore
Petrol,Hatchback,Manual,96198,2015,3.59,1198.0,Honda,Honda Brio,2015,bangalore
Petrol,Sedan,Automatic,50000,2013,5.2,1497.0,Honda,Honda City,2013,bangalore
Petrol,Hatchback,Manual,81207,2015,3.35,998.0,Maruti,Maruti Wagon R,2015,bangalore
Petrol,Hatchback,Manual,48148,2021,7.66,1197.0,Maruti,Maruti Swift,2021,bangalore
Petrol,Hatchback,Manual,120000,2015,3.5,998.0,Maruti,Maruti Celerio,2015,bangalore
Diesel,Sedan,Manual,90000,2018,4.8,1248.0,Tata,Tata Zest,2018,bangalore
Diesel,SUV,Manual,60000,2017,8.22,2523.0,Mahindra,Mahindra Thar,2017,bangalore
Petrol,Sedan,Manual,120000,2009,1.9,1368.0,Fiat,Fiat Linea,2009,bangalore
Petrol,Sedan,Automatic,70000,2008,6.0,2354.0,Honda,Honda New Accord,2008,bangalore
Diesel,SUV,Manual,30000,2022,9.95,1497.0,Mahindra,Mahindra XUV300,2022,bangalore
Petrol,Hatchback,Manual,30000,2001,1.2,796.0,Maruti,Maruti Omni,2001,bangalore
Diesel,SUV,Manual,120000,2013,5.75,1461.0,Nissan,Nissan Terrano,2013,bangalore
Diesel,SUV,Automatic,64389,2018,37.95,2143.0,Mercedes-Benz,Mercedes-Benz GLC,2018,bangalore
Petrol,Hatchback,Manual,60000,2014,2.6,796.0,Maruti,Maruti Alto 800,2014,bangalore
Petrol,Hatchback,Manual,67245,2015,5.39,1197.0,Maruti,Maruti Swift,2015,bangalore
Petrol,Sedan,Automatic,30518,2018,10.06,1591.0,Hyundai,Hyundai Verna,2018,bangalore
Petrol,Sedan,Automatic,20000,2022,39.0,1332.0,Mercedes-Benz,Mercedes-Benz A-Class Limousine,2022,bangalore
Diesel,Sedan,Manual,102407,2018,7.96,1248.0,Maruti,Maruti Ciaz,2018,bangalore
Petrol,Hatchback,Manual,53606,2015,6.36,1197.0,Hyundai,Hyundai i20,2015,bangalore
Diesel,SUV,Manual,90000,2015,14.0,1968.0,Skoda,Skoda Yeti,2015,bangalore
Petrol,Hatchback,Manual,44253,2016,6.15,1197.0,Maruti,Maruti Baleno,2017,bangalore
Cng,Minivans,Manual,40000,2021,5.0,1196.0,Maruti,Maruti Eeco,2021,bangalore
Petrol,Hatchback,Manual,34702,2021,7.18,1199.0,Tata,Tata Tiago,2021,bangalore
Petrol,Hatchback,Manual,42762,2012,4.36,1197.0,Maruti,Maruti Swift,2012,bangalore
Petrol,Hatchback,Manual,50000,2015,2.8,998.0,Maruti,Maruti Alto K10,2015,bangalore
Petrol,MUV,Automatic,30000,2022,7.8,999.0,Renault,Renault Triber,2022,bangalore
Diesel,SUV,Automatic,80000,2016,9.0,1997.0,Mahindra,Mahindra XUV500,2016,bangalore
Cng,MUV,Manual,20000,2022,13.0,1462.0,Maruti,Maruti Ertiga,2022,bangalore
Cng,Sedan,Manual,50000,2014,3.0,1586.0,Maruti,Maruti SX4,2014,bangalore
Petrol,Sedan,Automatic,28000,2019,36.75,1999.0,Jaguar,Jaguar XE,2019,bangalore
Petrol,Sedan,Manual,40000,2020,6.7,1197.0,Maruti,Maruti Swift Dzire,2020,bangalore
Petrol,Hatchback,Manual,10000,2020,9.0,1197.0,Maruti,Maruti Baleno,2020,bangalore
Petrol,Hatchback,Manual,60000,2016,6.0,1197.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,Hatchback,Manual,110000,2008,1.1,995.0,Chevrolet,Chevrolet Spark,2008,bangalore
Petrol,Hatchback,Manual,57459,2016,6.05,1197.0,Hyundai,Hyundai i20,2017,bangalore
Petrol,Hatchback,Manual,70381,2017,5.59,1197.0,Hyundai,Hyundai Grand i10,2018,bangalore
Diesel,Hatchback,Manual,90000,2012,2.68,1199.0,Volkswagen,Volkswagen Polo,2012,bangalore
Petrol,Sedan,Manual,80648,2020,7.8,1462.0,Maruti,Maruti Ciaz,2020,bangalore
Petrol,SUV,Manual,81853,2016,8.64,1591.0,Hyundai,Hyundai Creta,2016,bangalore
Petrol,Hatchback,Manual,40000,2009,2.4,1086.0,Hyundai,Hyundai Santro Xing,2009,bangalore
Petrol,Hatchback,Manual,90802,2012,3.41,1198.0,Honda,Honda Brio,2012,bangalore
Petrol,Hatchback,Manual,16502,2021,5.13,1086.0,Hyundai,Hyundai Santro,2021,bangalore
Petrol,Hatchback,Manual,31530,2021,6.61,1197.0,Maruti,Maruti Ignis,2021,bangalore
Diesel,MUV,Manual,120000,2017,8.0,1248.0,Maruti,Maruti Ertiga,2017,bangalore
Diesel,Hatchback,Manual,80000,2015,5.2,1248.0,Maruti,Maruti Swift,2015,bangalore
Petrol,Sedan,Automatic,71086,2014,6.0,1497.0,Honda,Honda City,2014,bangalore
Diesel,Hatchback,Manual,110000,2011,3.0,1248.0,Maruti,Maruti Ritz,2011,bangalore
Diesel,SUV,Automatic,50000,2020,37.5,3198.0,Ford,Ford Endeavour,2020,bangalore
Petrol,Hatchback,Automatic,18000,2021,12.95,998.0,Hyundai,Hyundai i20 N Line,2021,bangalore
Petrol,Sedan,Manual,60000,2014,6.3,1497.0,Honda,Honda City,2014,bangalore
Diesel,MUV,Manual,120000,2016,4.75,2499.0,Chevrolet,Chevrolet Tavera,2016,bangalore
Petrol,Hatchback,Manual,70000,2011,2.75,1197.0,Hyundai,Hyundai i10,2011,bangalore
Petrol,Hatchback,Automatic,25000,2016,5.75,1199.0,Honda,Honda Jazz,2016,bangalore
Petrol,Hatchback,Manual,69210,2012,3.38,1198.0,Honda,Honda Brio,2012,bangalore
Petrol,Hatchback,Manual,71165,2018,6.04,1199.0,Honda,Honda Jazz,2018,bangalore
Petrol,SUV,Automatic,10000,2022,130.0,2998.0,BMW,BMW X7,2022,bangalore
Diesel,Sedan,Manual,86543,2010,3.27,1248.0,Maruti,Maruti Swift Dzire,2010,bangalore
Petrol,Hatchback,Automatic,67225,2016,6.21,1197.0,Maruti,Maruti Baleno,2016,bangalore
Diesel,Hatchback,Manual,100000,2017,2.4,1396.0,Tata,Tata Indica V2,2017,bangalore
Petrol,Hatchback,Manual,16247,2018,6.21,1197.0,Hyundai,Hyundai Grand i10,2018,bangalore
Petrol,Sedan,Manual,80000,2007,1.4,1390.0,Mahindra Renault,Mahindra Renault Logan,2007,bangalore
Petrol,Hatchback,Automatic,39481,2017,7.08,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,Hatchback,Manual,61227,2018,4.43,998.0,Maruti,Maruti Celerio,2018,bangalore
Petrol,Sedan,Manual,80000,2006,1.8,1497.0,Honda,Honda City,2006,bangalore
Diesel,SUV,Manual,112521,2016,7.0,1461.0,Renault,Renault Duster,2016,bangalore
Diesel,SUV,Manual,20000,2020,18.0,1956.0,MG,MG Hector,2020,bangalore
Petrol,Sedan,Automatic,20000,2021,14.5,1498.0,Honda,Honda City,2021,bangalore
Petrol,Sedan,Manual,60000,2016,5.2,1198.0,Volkswagen,Volkswagen Ameo,2016,bangalore
Petrol,Hatchback,Manual,40000,2018,4.7,1199.0,Tata,Tata Tiago,2018,bangalore
Diesel,SUV,Manual,50000,2016,6.0,1461.0,Renault,Renault Duster,2016,bangalore
Diesel,SUV,Automatic,100000,2016,18.5,1968.0,Audi,Audi Q3,2016,bangalore
Electric,Hatchback,Automatic,20000,2017,4.6,72.0,Mahindra,Mahindra e2o Plus,2017,bangalore
Petrol,Sedan,Manual,110000,2003,6.14,1589.0,Opel,OpelCorsa,2003,bangalore
Petrol,Hatchback,Manual,63359,2017,6.49,1197.0,Maruti,Maruti Baleno,2017,bangalore
Diesel,Hatchback,Manual,125227,2017,6.57,1396.0,Hyundai,Hyundai i20,2017,bangalore
Diesel,Hatchback,Manual,100000,2012,4.2,1199.0,Volkswagen,Volkswagen Polo,2012,bangalore
Diesel,Hatchback,Manual,71884,2015,6.29,1248.0,Maruti,Maruti Swift,2015,bangalore
Petrol,Hatchback,Manual,79059,2012,3.22,1198.0,Honda,Honda Brio,2012,bangalore
Petrol,Hatchback,Manual,80000,2016,6.2,1197.0,Maruti,Maruti Baleno,2016,bangalore
Petrol,Hatchback,Manual,69124,2013,4.35,1197.0,Maruti,Maruti Swift,2014,bangalore
Diesel,MUV,Manual,120000,2012,9.6,2494.0,Toyota,Toyota Innova,2012,bangalore
Petrol,Hatchback,Manual,73340,2010,3.17,1197.0,Maruti,Maruti Ritz,2010,bangalore
