Fuel_Type,Body_Type,Transmission,KM_Driven,Model_Year,Price,Engine,Brand,Model,Registration_Year,City
Diesel,SUV,Manual,53645,2018,8.25,1497.0,Tata,Tata Nexon,2018,bangalore
Petrol,Hatchback,Manual,100000,2006,2.2,1341.0,Hyundai,Hyundai Getz,2006,bangalore
Petrol,Hatchback,Automatic,53982,2014,4.28,998.0,Maruti,Maruti Celerio,2014,bangalore
Diesel,Sedan,Manual,110000,2014,6.95,1498.0,Skoda,Skoda Rapid,2014,bangalore
Petrol,SUV,Manual,37741,2019,9.3,1496.0,Ford,Ford Ecosport,2019,bangalore
Petrol,Hatchback,Manual,17367,2021,4.55,796.0,Maruti,Maruti Alto 800,2021,bangalore
Diesel,SUV,Manual,94000,2017,11.95,1582.0,Hyundai,Hyundai Creta,2017,bangalore
Diesel,SUV,Automatic,33700,2021,21.75,1956.0,Tata,Tata Harrier,2021,bangalore
Petrol,Hatchback,Manual,54601,2014,4.42,1197.0,Maruti,Maruti Swift,2014,bangalore
Diesel,Hatchback,Manual,110000,2018,6.9,1248.0,Maruti,Maruti Swift,2018,bangalore
Petrol,Hatchback,Manual,64000,2017,5.0,998.0,Maruti,Maruti Celerio,2017,bangalore
Diesel,Sedan,Automatic,40525,2016,33.95,1995.0,BMW,BMW 3 Series GT,2016,bangalore
Diesel,Sedan,Manual,100000,2015,6.5,1248.0,Maruti,Maruti Ciaz,2015,bangalore
Petrol,Hatchback,Automatic,44154,2016,5.37,1199.0,Honda,Honda Jazz,2016,bangalore
Diesel,MUV,Manual,70000,2016,7.5,1461.0,Renault,Renault Lodgy,2016,bangalore
Petrol,Sedan,Automatic,79000,2018,17.9,1798.0,Skoda,Skoda Octavia,2018,bangalore
Petrol,Hatchback,Manual,68039,2017,4.68,1199.0,Tata,Tata Tiago,2018,bangalore
Petrol,Hatchback,Manual,60000,2014,4.2,1197.0,Maruti,Maruti Ritz,2014,bangalore
Petrol,Hatchback,Manual,10000,2021,9.2,998.0,Hyundai,Hyundai i20,2021,bangalore
Petrol,Sedan,Manual,49873,2013,5.33,1497.0,Honda,Honda City,2013,bangalore
Petrol,Hatchback,Automatic,90000,2013,8.5,1197.0,Volkswagen,Volkswagen Polo,2013,bangalore
Diesel,Sedan,Manual,48960,2017,7.51,1498.0,Skoda,Skoda Rapid,2017,bangalore
Diesel,Hatchback,Manual,70000,2014,3.88,1120.0,Hyundai,Hyundai Grand i10,2014,bangalore
Petrol,Hatchback,Manual,68000,2013,4.9,1197.0,Hyundai,Hyundai i20,2013,bangalore
Diesel,SUV,Manual,23017,2016,4.94,1198.0,Mahindra,Mahindra KUV 100,2016,bangalore
Diesel,Hatchback,Manual,83000,2013,5.25,1396.0,Hyundai,Hyundai i20,2014,bangalore
Diesel,SUV,Automatic,92000,2016,28.9,1995.0,BMW,BMW X3,2016,bangalore
Petrol,Hatchback,Manual,62139,2018,5.5,998.0,Maruti,Maruti Wagon R,2018,bangalore
Lpg,Hatchback,Manual,74000,2013,3.65,1086.0,Hyundai,Hyundai i10,2013,bangalore
Petrol,Hatchback,Automatic,26500,2016,4.2,999.0,Renault,Renault KWID,2016,bangalore
Diesel,Sedan,Automatic,81716,2017,18.95,1969.0,Volvo,Volvo S60,2017,bangalore
Diesel,Sedan,Automatic,24000,2018,59.9,2987.0,Mercedes-Benz,Mercedes-Benz E-Class,2018,bangalore
Petrol,SUV,Automatic,10000,2022,10.5,1197.0,Mahindra,Mahindra XUV300,2022,bangalore
Petrol,SUV,Automatic,18000,2021,20.75,1451.0,MG,MG Hector Plus,2021,bangalore
Petrol,Hatchback,Manual,38197,2013,3.94,1198.0,Honda,Honda Brio,2013,bangalore
Petrol,Hatchback,Automatic,23000,2017,7.25,1197.0,Maruti,Maruti Baleno,2017,bangalore
Petrol,Hatchback,Manual,50000,2013,2.4,998.0,Maruti,Maruti Alto K10,2013,bangalore
Petrol,SUV,Automatic,10000,2022,8.35,999.0,Renault,Renault Kiger,2022,bangalore
Petrol,Hatchback,Manual,19000,2019,6.95,1197.0,Hyundai,Hyundai Grand i10,2019,bangalore
Petrol,SUV,Automatic,14000,2020,17.25,1353.0,Kia,Kia Seltos,2020,bangalore
